name,sale_price,original_price,discount
CARNATION Extra Half Unsweet Creamer 385 g x 48,"1,139","1,248",-8%
BREEZE Matic Regular Detergent Industrial 8 kg,319,399,-20%
CARNATION Extra Half Unsweet Creamer 385 g x 6,147,156,-5%
BREEZE Excel Concentrate Detergent 750 g,61,69,-11%
WHIZ X5 Floor Cleaner Pink 2.1 l,89,95,-6%
BREEZE Excel Comfort Concentrate Detergent pink 750 g,61,69,-11%
CARNATION Evaporated Milk 405 g x 6,153,156,-1%
FARCENT Blue Power Toilet Lavender 65 g x 3,94,99,-5%
BREEZE Excel Concentrate Detergent Green 1.3 kg,99,149,-33%
BREEZE EXCEL Concentrated Liquid Detergent Active Fresh 2 liter X 1,196,235,-16%
OREO Sandwich Cookies with Vanilla Flavored Cream 26.25 g x 12,46,49.5,
HALLS Candy Honey Lemon 120 pcs,52,61,
FUN-O Puff Cake Chocolate Brownie 15 g x 24,95,109,-12%
KITKAT X MILO Wafer Fingers in Chocolate Malt 16 g x 10,110,115,
FUN-O Sandwich Cookies Filled with Chocolate Cream 40.5 g 12 pcs,47,47.5,
HALL'S XS Watermelon 12 g x 12,209,263,
Julie'S Golden Crackers 368 g,48,55,-12%
GO CHOCO Rollz Twin 24 g x 12,42,44,-4%
ALFIE Confectionery Chocolate Flavor 15 g x 12,45,48,
HARTBEAT Candy Strawberry Flavor 100 pcs,35,36,-2%
TIVOLI Twin Jumbo Wafer Chocolate 35 g x 12,47,47.5,
Cadbury Chocolate Milk 135 g,119,139,-14%
FISHERMAN'S FRIEND Sugar Free Cherry 24 sachets,672,749,-10%
YUPI Gummy Fancy Mix 7 g x 24,33,36,
Kisco Deno Choco Stone 18 g x 12,48,49,
TOBLERONE Chocolate Milk 200 g,199,229,-13%
CAMPUS Extruded Snack coated with Chocolate 12 g x 12,46,49.5,
TAOKAENOI Big Sheet Seaweed Classic 3.2 g x 12,48,49,
ARO Frank Chicken Sausage 1 kg,119,125,-4%
Frozen Pork Collar Steak Per kg 0.1-0.2 kg/pc,180,182,
ARO Frozen Pan Grilled Pork Belly 1 kg,193,195,
MMILK Fresh Milk 2 l,95,101.5,-6%
ARO GOLD Frozen Atlantic Salmon Portion 4 pcs 480 g,389,399,
ARO Yogurt Natural Flavour 2 kg,115,125,-8%
ARO Frozen Squid Ring 1 kg,144,155,
ARO Frozen Squid Ring 1 Carton (1 kg x 10),"1,430","1,500",-4%
RAITIP Fried Red Onion 500 g,138,140,-1%
